doctor_id,hospital_id,name,gender,age,specialty,sub_specialty,primary_qualification,additional_qualification,years_experience,seniority_level,board_certified,on_call,shift_type,prefers_trauma_cases,telemedicine_enabled,languages_spoken,max_concurrent_cases,avg_consultation_time_min,avg_response_time_to_call_min,last_appraisal_score,doctor_quality_score,burnout_risk_score,contact_channel
DOC_0013,HOSP_001,Ishaan Roy,M,49,NEURO,SPINE_SURGERY,"MBBS, DNB",Fellowship in Trauma Care,3,JUNIOR_RESIDENT,False,False,NIGHT,False,True,"['Bengali', 'English', 'Hindi', 'Marathi']",3,13,9.73,3.81,0.31,0.61,app://doctor/DOC_0013
DOC_0014,HOSP_001,Aarav Ghosh,OTHER,57,NEURO,STROKE_SPECIALIST,"MBBS, MD",Fellowship in Neuro Critical Care,32,SENIOR_CONSULTANT,False,True,ROTATING,False,True,"['Bengali', 'English', 'Hindi']",3,27,2.18,3.58,0.75,0.73,app://doctor/DOC_0014
DOC_0015,HOSP_001,Rohit Mukherjee,M,43,TRAUMA,POLYTRAUMA,"MBBS, MS",Fellowship in Neuro Critical Care,27,SENIOR_CONSULTANT,True,True,ROTATING,True,True,"['Bengali', 'English', 'Hindi', 'Urdu']",2,25,9.39,3.58,0.85,0.53,app://doctor/DOC_0015
DOC_0016,HOSP_001,Mira Roy,F,58,GENERAL_SURGERY,ONCO_SURGERY,"MBBS, MD",Fellowship in Interventional Cardiology,33,SENIOR_CONSULTANT,True,True,ROTATING,False,True,"['Bengali', 'English', 'Hindi', 'Tamil']",3,26,3.4,3.01,0.87,0.63,app://doctor/DOC_0016
DOC_0017,HOSP_001,Nikita Chatterjee,OTHER,59,GENERAL_SURGERY,ONCO_SURGERY,"MBBS, DNB",Fellowship in Trauma Care,35,SENIOR_CONSULTANT,False,True,ROTATING,False,True,"['Bengali', 'English', 'Hindi', 'Odia']",2,28,4.45,4.71,0.81,0.42,app://doctor/DOC_0017
DOC_0018,HOSP_001,Rahul Banerjee,F,52,NEURO,SPINE_SURGERY,"MBBS, MD",Fellowship in Interventional Cardiology,33,SENIOR_CONSULTANT,True,True,DAY,False,True,"['Bengali', 'English', 'Hindi', 'Urdu']",4,10,7.5,3.82,0.87,0.5,app://doctor/DOC_0018
DOC_0019,HOSP_001,Ananya Mukherjee,F,44,NEPHROLOGY,TRANSPLANT_NEPRHOLOGY,MBBS,Fellowship in Trauma Care,25,SENIOR_CONSULTANT,True,False,ROTATING,False,False,"['Bengali', 'English', 'Hindi', 'Marathi', 'Tamil']",1,29,1.62,4.26,0.94,0.59,app://doctor/DOC_0019
DOC_0020,HOSP_001,Sara Banerjee,M,55,EMERGENCY_MEDICINE,RESUSCITATION_EXPERT,"MBBS, DNB",FNB Critical Care,2,JUNIOR_RESIDENT,True,False,NIGHT,True,True,"['Bengali', 'English', 'Hindi', 'Marathi']",3,23,2.31,4.06,0.53,0.57,app://doctor/DOC_0020
DOC_0021,HOSP_001,Kabir Singh,M,33,PULMONOLOGY,SLEEP_MEDICINE,"MBBS, MD",Fellowship in Interventional Cardiology,15,SENIOR_CONSULTANT,False,False,DAY,False,False,"['Bengali', 'English', 'Hindi', 'Tamil']",3,10,9.09,3.93,0.72,0.4,app://doctor/DOC_0021
DOC_0022,HOSP_001,Aditya Singh,M,56,NEPHROLOGY,TRANSPLANT_NEPRHOLOGY,"MBBS, DNB",Fellowship in Pediatric ICU,20,SENIOR_CONSULTANT,True,True,NIGHT,False,True,"['Bengali', 'English', 'Hindi', 'Urdu']",2,22,6.15,4.15,0.88,0.53,app://doctor/DOC_0022
DOC_0023,HOSP_001,Priya Sharma,OTHER,53,NEPHROLOGY,DIALYSIS_SPECIALIST,MBBS,Fellowship in Neuro Critical Care,19,SENIOR_CONSULTANT,True,False,NIGHT,False,False,"['Bengali', 'English', 'Hindi', 'Odia']",2,29,3.26,4.51,0.95,0.42,app://doctor/DOC_0023
DOC_0024,HOSP_001,Ananya Ghosh,M,30,NEPHROLOGY,TRANSPLANT_NEPRHOLOGY,MBBS,Fellowship in Neuro Critical Care,9,CONSULTANT,True,True,ROTATING,False,True,"['Bengali', 'English', 'Hindi', 'Tamil']",2,16,2.19,4.08,0.73,0.67,app://doctor/DOC_0024
DOC_0025,HOSP_001,Simran Reddy,F,38,NEPHROLOGY,TRANSPLANT_NEPRHOLOGY,"MBBS, MS",Fellowship in Pediatric ICU,30,SENIOR_CONSULTANT,True,True,DAY,False,True,"['Bengali', 'English', 'Hindi']",4,27,4.29,4.58,0.95,0.22,app://doctor/DOC_0025
DOC_0026,HOSP_001,Aditya Mukherjee,F,51,TRAUMA,HEAD_INJURY_FOCUS,"MBBS, MS",Fellowship in Neuro Critical Care,24,SENIOR_CONSULTANT,True,True,ROTATING,False,True,"['Bengali', 'English', 'Hindi', 'Urdu']",3,29,2.99,3.13,0.88,0.67,app://doctor/DOC_0026
DOC_0027,HOSP_001,Priya Ghosh,F,35,GENERAL_SURGERY,LAPAROSCOPIC_SURGERY,MBBS,Fellowship in Trauma Care,7,CONSULTANT,True,True,DAY,False,False,"['Bengali', 'English', 'Hindi']",4,24,4.34,4.9,0.77,0.55,app://doctor/DOC_0027
DOC_0028,HOSP_001,Aditya Mehta,OTHER,37,NEURO,SPINE_SURGERY,MBBS,Fellowship in Interventional Cardiology,18,SENIOR_CONSULTANT,True,False,NIGHT,False,False,"['Bengali', 'English', 'Hindi', 'Odia']",4,24,9.55,4.71,0.91,0.27,app://doctor/DOC_0028
DOC_0029,HOSP_002,Sneha Reddy,OTHER,50,EMERGENCY_MEDICINE,TOXICOLOGY,"MBBS, MS",FNB Critical Care,6,CONSULTANT,True,True,NIGHT,False,False,"['Bengali', 'English', 'Hindi', 'Tamil', 'Urdu']",3,17,9.9,4.57,0.71,0.37,app://doctor/DOC_0029
DOC_0030,HOSP_002,Aditya Nair,OTHER,41,NEURO,EPILEPTOLOGIST,"MBBS, MD",Fellowship in Neuro Critical Care,10,CONSULTANT,True,True,NIGHT,False,False,"['Bengali', 'English', 'Hindi', 'Odia']",1,10,2.19,3.72,0.71,0.5,app://doctor/DOC_0030
DOC_0031,HOSP_002,Nikita Iyer,M,39,PEDIATRIC,NEONATOLOGY,"MBBS, MD",Fellowship in Pediatric ICU,8,CONSULTANT,True,True,ROTATING,False,True,"['Bengali', 'English', 'Hindi', 'Marathi']",1,24,5.53,4.89,0.72,0.3,app://doctor/DOC_0031
DOC_0032,HOSP_002,Simran Das,F,29,EMERGENCY_MEDICINE,TOXICOLOGY,"MBBS, DNB",Fellowship in Interventional Cardiology,32,SENIOR_CONSULTANT,False,False,DAY,True,True,"['Bengali', 'English', 'Hindi', 'Odia']",1,14,3.48,4.27,0.79,0.38,app://doctor/DOC_0032
DOC_0033,HOSP_002,Rahul Mehta,OTHER,61,PEDIATRIC,PEDIATRIC_ICU,"MBBS, DNB",,14,SENIOR_CONSULTANT,False,False,DAY,False,True,"['Bengali', 'English', 'Hindi']",4,20,8.45,3.8,0.72,0.58,app://doctor/DOC_0033
DOC_0034,HOSP_002,Rahul Mehta,F,44,PEDIATRIC,NEONATOLOGY,"MBBS, DNB",,6,CONSULTANT,False,True,DAY,False,True,"['Bengali', 'English', 'Hindi', 'Marathi', 'Urdu']",1,28,9.61,4.12,0.53,0.51,app://doctor/DOC_0034
DOC_0035,HOSP_002,Mira Iyer,OTHER,55,EMERGENCY_MEDICINE,TOXICOLOGY,"MBBS, MS",Fellowship in Trauma Care,33,SENIOR_CONSULTANT,True,True,ROTATING,True,False,"['Bengali', 'English', 'Hindi', 'Odia']",1,21,8.61,3.74,0.87,0.54,app://doctor/DOC_0035
DOC_0036,HOSP_002,Nikita Nair,F,63,EMERGENCY_MEDICINE,TOXICOLOGY,MBBS,FNB Critical Care,20,SENIOR_CONSULTANT,True,True,ROTATING,True,True,"['Bengali', 'English', 'Hindi']",2,28,6.92,3.14,0.84,0.54,app://doctor/DOC_0036
DOC_0037,HOSP_002,Aarav Mukherjee,OTHER,61,NEURO,EPILEPTOLOGIST,"MBBS, DNB",Fellowship in Interventional Cardiology,24,SENIOR_CONSULTANT,True,True,DAY,False,False,"['Bengali', 'English', 'Hindi', 'Urdu']",1,14,2.42,4.24,0.94,0.39,app://doctor/DOC_0037
DOC_0038,HOSP_002,Arjun Patel,OTHER,55,PULMONOLOGY,INTERVENTIONAL_PULMONOLOGY,"MBBS, DNB",Fellowship in Interventional Cardiology,33,SENIOR_CONSULTANT,True,True,DAY,False,True,"['Bengali', 'English', 'Hindi', 'Urdu']",3,28,5.38,4.33,0.9,0.25,app://doctor/DOC_0038
DOC_0039,HOSP_002,Kunal Chatterjee,M,28,NEURO,EPILEPTOLOGIST,"MBBS, MD",FNB Critical Care,21,SENIOR_CONSULTANT,True,True,NIGHT,False,True,"['Bengali', 'English', 'Hindi', 'Tamil']",2,14,4.42,4.41,0.95,0.32,app://doctor/DOC_0039
DOC_0040,HOSP_002,Sneha Mukherjee,F,30,PULMONOLOGY,CRITICAL_CARE,"MBBS, DNB",,28,SENIOR_CONSULTANT,False,True,ROTATING,False,False,"['Bengali', 'English', 'Hindi', 'Odia', 'Tamil']",1,22,1.19,3.65,0.76,0.59,app://doctor/DOC_0040
DOC_0041,HOSP_002,Rohan Patel,OTHER,51,EMERGENCY_MEDICINE,TOXICOLOGY,MBBS,FNB Critical Care,26,SENIOR_CONSULTANT,True,True,ROTATING,True,True,"['Bengali', 'English', 'Hindi', 'Marathi', 'Urdu']",3,15,1.69,4.27,0.94,0.53,app://doctor/DOC_0041
DOC_0042,HOSP_002,Riya Bhattacharya,F,50,NEURO,STROKE_SPECIALIST,MBBS,FNB Critical Care,12,CONSULTANT,True,True,DAY,False,False,"['Bengali', 'English', 'Hindi']",2,30,5.45,4.51,0.8,0.46,app://doctor/DOC_0042
DOC_0043,HOSP_002,Siddharth Ghosh,OTHER,48,PEDIATRIC,NEONATOLOGY,"MBBS, DNB",,20,SENIOR_CONSULTANT,True,True,NIGHT,False,False,"['Bengali', 'English', 'Hindi']",3,26,1.67,3.92,0.92,0.24,app://doctor/DOC_0043
DOC_0044,HOSP_002,Sneha Roy,F,32,EMERGENCY_MEDICINE,TOXICOLOGY,"MBBS, DNB",Fellowship in Neuro Critical Care,3,JUNIOR_RESIDENT,False,False,ROTATING,False,False,"['Bengali', 'English', 'Hindi']",3,29,5.28,3.3,0.29,0.54,app://doctor/DOC_0044
DOC_0045,HOSP_002,Ishaan Sen,F,33,NEURO,STROKE_SPECIALIST,"MBBS, MD",Fellowship in Pediatric ICU,34,SENIOR_CONSULTANT,True,True,NIGHT,False,True,"['Bengali', 'English', 'Hindi', 'Marathi']",4,23,7.97,4.36,0.9,0.25,app://doctor/DOC_0045
DOC_0046,HOSP_002,Juhi Ghosh,F,32,PEDIATRIC,NEONATOLOGY,"MBBS, DNB",Fellowship in Trauma Care,10,CONSULTANT,True,True,ROTATING,False,True,"['Bengali', 'English', 'Hindi', 'Odia', 'Tamil']",3,30,7.29,3.78,0.67,0.64,app://doctor/DOC_0046
DOC_0047,HOSP_002,Diya Das,OTHER,52,PEDIATRIC,NEONATOLOGY,MBBS,Fellowship in Pediatric ICU,33,SENIOR_CONSULTANT,True,False,NIGHT,False,True,"['Bengali', 'English', 'Hindi', 'Marathi']",2,16,4.08,4.53,0.96,0.19,app://doctor/DOC_0047
DOC_0048,HOSP_002,Ananya Singh,M,46,EMERGENCY_MEDICINE,RESUSCITATION_EXPERT,"MBBS, MS",Fellowship in Neuro Critical Care,25,SENIOR_CONSULTANT,True,True,ROTATING,True,True,"['Bengali', 'English', 'Hindi', 'Marathi', 'Odia']",4,11,4.7,4.35,0.95,0.41,app://doctor/DOC_0048
DOC_0049,HOSP_002,Siddharth Chatterjee,F,56,NEURO,SPINE_SURGERY,"MBBS, MD",Fellowship in Trauma Care,24,SENIOR_CONSULTANT,False,True,DAY,False,True,"['Bengali', 'English', 'Hindi', 'Tamil']",4,15,8.35,4.6,0.76,0.33,app://doctor/DOC_0049
DOC_0050,HOSP_002,Arjun Sharma,OTHER,58,PEDIATRIC,GENERAL_PEDIATRICS,MBBS,Fellowship in Pediatric ICU,19,SENIOR_CONSULTANT,True,False,DAY,False,True,"['Bengali', 'English', 'Hindi', 'Tamil']",2,23,1.83,4.82,0.97,0.44,app://doctor/DOC_0050
DOC_0051,HOSP_002,Sneha Bhattacharya,M,54,EMERGENCY_MEDICINE,TOXICOLOGY,"MBBS, MS",FNB Critical Care,24,SENIOR_CONSULTANT,True,True,DAY,True,True,"['Bengali', 'English', 'Hindi']",3,14,2.24,3.57,0.91,0.56,app://doctor/DOC_0051
DOC_0052,HOSP_002,Ananya Sen,OTHER,58,PULMONOLOGY,INTERVENTIONAL_PULMONOLOGY,MBBS,,14,SENIOR_CONSULTANT,True,True,NIGHT,False,False,"['Bengali', 'English', 'Hindi', 'Tamil', 'Urdu']",3,17,3.71,3.1,0.88,0.4,app://doctor/DOC_0052
DOC_0053,HOSP_002,Rohan Patel,M,35,PULMONOLOGY,INTERVENTIONAL_PULMONOLOGY,MBBS,Fellowship in Pediatric ICU,16,SENIOR_CONSULTANT,True,False,ROTATING,False,True,"['Bengali', 'English', 'Hindi', 'Urdu']",3,17,6.14,3.37,0.85,0.61,app://doctor/DOC_0053
DOC_0054,HOSP_002,Simran Iyer,M,61,EMERGENCY_MEDICINE,TOXICOLOGY,"MBBS, DNB",,24,SENIOR_CONSULTANT,True,False,NIGHT,False,True,"['Bengali', 'English', 'Hindi', 'Urdu']",3,17,7.6,4.26,0.89,0.54,app://doctor/DOC_0054
DOC_0055,HOSP_002,Rahul Singh,M,50,PEDIATRIC,GENERAL_PEDIATRICS,"MBBS, MD",Fellowship in Pediatric ICU,31,SENIOR_CONSULTANT,True,True,ROTATING,False,True,"['Bengali', 'English', 'Hindi']",4,11,3.64,3.09,0.88,0.42,app://doctor/DOC_0055
DOC_0056,HOSP_002,Vivaan Iyer,F,60,PULMONOLOGY,INTERVENTIONAL_PULMONOLOGY,"MBBS, DNB",Fellowship in Trauma Care,13,SENIOR_CONSULTANT,True,True,ROTATING,False,True,"['Bengali', 'English', 'Hindi']",3,18,2.12,3.74,0.92,0.68,app://doctor/DOC_0056
DOC_0057,HOSP_002,Siddharth Bhattacharya,F,49,NEURO,EPILEPTOLOGIST,"MBBS, DNB",Fellowship in Trauma Care,6,CONSULTANT,False,False,NIGHT,False,True,"['Bengali', 'English', 'Hindi', 'Odia']",3,20,1.92,3.66,0.56,0.45,app://doctor/DOC_0057
DOC_0058,HOSP_003,Siddharth Chatterjee,OTHER,55,ORTHO,SPORTS_INJURY,"MBBS, DNB",Fellowship in Trauma Care,23,SENIOR_CONSULTANT,False,True,DAY,False,True,"['Bengali', 'English', 'Hindi', 'Tamil', 'Urdu']",4,21,5.62,4.5,0.74,0.34,app://doctor/DOC_0058
DOC_0059,HOSP_003,Aarav Singh,OTHER,56,GENERAL_SURGERY,LAPAROSCOPIC_SURGERY,MBBS,FNB Critical Care,24,SENIOR_CONSULTANT,False,False,NIGHT,False,False,"['Bengali', 'English', 'Hindi']",2,24,9.54,3.74,0.7,0.5,app://doctor/DOC_0059
DOC_0060,HOSP_003,Nikita Singh,OTHER,51,PULMONOLOGY,SLEEP_MEDICINE,"MBBS, MS",FNB Critical Care,12,CONSULTANT,False,True,DAY,False,False,"['Bengali', 'English', 'Hindi', 'Urdu']",3,18,7.34,3.43,0.59,0.57,app://doctor/DOC_0060
DOC_0061,HOSP_003,Rohit Nair,M,36,GENERAL_SURGERY,ONCO_SURGERY,"MBBS, MD",Fellowship in Pediatric ICU,21,SENIOR_CONSULTANT,True,True,DAY,False,False,"['Bengali', 'English', 'Hindi']",3,19,8.66,4.42,0.89,0.6,app://doctor/DOC_0061
DOC_0062,HOSP_003,Juhi Singh,F,60,ORTHO,SPINE_SURGEON,"MBBS, MD",FNB Critical Care,2,JUNIOR_RESIDENT,True,True,NIGHT,False,False,"['Bengali', 'English', 'Hindi', 'Marathi', 'Odia']",2,29,8.96,3.13,0.42,0.43,app://doctor/DOC_0062
DOC_0063,HOSP_003,Rohit Reddy,F,54,GENERAL_SURGERY,LAPAROSCOPIC_SURGERY,"MBBS, MS",Fellowship in Pediatric ICU,30,SENIOR_CONSULTANT,True,True,NIGHT,False,True,"['Bengali', 'English', 'Hindi', 'Odia', 'Urdu']",4,26,9.2,3.11,0.82,0.3,app://doctor/DOC_0063
DOC_0064,HOSP_003,Ananya Das,M,38,PEDIATRIC,GENERAL_PEDIATRICS,"MBBS, MD",Fellowship in Trauma Care,6,CONSULTANT,True,False,NIGHT,False,True,"['Bengali', 'English', 'Hindi', 'Marathi', 'Urdu']",3,29,5.8,4.01,0.67,0.37,app://doctor/DOC_0064
DOC_0065,HOSP_003,Nikita Singh,M,49,GENERAL_SURGERY,LAPAROSCOPIC_SURGERY,MBBS,,17,SENIOR_CONSULTANT,True,False,ROTATING,False,False,"['Bengali', 'English', 'Hindi', 'Urdu']",4,30,5.91,4.28,0.88,0.46,app://doctor/DOC_0065
DOC_0066,HOSP_003,Sara Sen,OTHER,53,PEDIATRIC,PEDIATRIC_ICU,MBBS,Fellowship in Pediatric ICU,29,SENIOR_CONSULTANT,False,True,DAY,False,True,"['Bengali', 'English', 'Hindi', 'Odia']",3,29,2.29,4.72,0.8,0.39,app://doctor/DOC_0066
DOC_0067,HOSP_003,Sneha Mehta,M,51,GENERAL_SURGERY,ONCO_SURGERY,"MBBS, MD",Fellowship in Interventional Cardiology,29,SENIOR_CONSULTANT,True,True,NIGHT,False,True,"['Bengali', 'English', 'Hindi']",1,19,9.51,4.73,0.9,0.3,app://doctor/DOC_0067
DOC_0068,HOSP_003,Kabir Roy,F,64,PEDIATRIC,NEONATOLOGY,"MBBS, MD",Fellowship in Interventional Cardiology,32,SENIOR_CONSULTANT,True,False,NIGHT,False,True,"['Bengali', 'English', 'Hindi']",1,22,5.55,4.93,0.91,0.21,app://doctor/DOC_0068
DOC_0069,HOSP_003,Sneha Sharma,M,46,PULMONOLOGY,INTERVENTIONAL_PULMONOLOGY,"MBBS, DNB",Fellowship in Trauma Care,7,CONSULTANT,False,False,DAY,False,True,"['Bengali', 'English', 'Hindi', 'Marathi']",4,21,1.41,3.1,0.52,0.57,app://doctor/DOC_0069
DOC_0070,HOSP_003,Sneha Reddy,F,32,PULMONOLOGY,INTERVENTIONAL_PULMONOLOGY,"MBBS, DNB",Fellowship in Neuro Critical Care,8,CONSULTANT,True,True,ROTATING,False,True,"['Bengali', 'English', 'Hindi', 'Marathi']",3,27,9.45,4.51,0.69,0.47,app://doctor/DOC_0070
DOC_0071,HOSP_003,Simran Mehta,OTHER,30,GENERAL_SURGERY,LAPAROSCOPIC_SURGERY,"MBBS, MD",Fellowship in Pediatric ICU,34,SENIOR_CONSULTANT,False,True,NIGHT,False,True,"['Bengali', 'English', 'Hindi', 'Odia', 'Tamil']",3,15,4.54,4.23,0.78,0.6,app://doctor/DOC_0071
DOC_0072,HOSP_003,Nikita Iyer,OTHER,60,PULMONOLOGY,INTERVENTIONAL_PULMONOLOGY,"MBBS, MS",Fellowship in Interventional Cardiology,22,SENIOR_CONSULTANT,True,True,NIGHT,False,True,"['Bengali', 'English', 'Hindi', 'Marathi', 'Tamil']",1,29,5.27,4.93,0.91,0.44,app://doctor/DOC_0072
DOC_0073,HOSP_003,Nikita Chatterjee,M,31,PULMONOLOGY,CRITICAL_CARE,"MBBS, DNB",FNB Critical Care,3,JUNIOR_RESIDENT,True,False,DAY,False,True,"['Bengali', 'English', 'Hindi']",4,20,4.77,3.83,0.51,0.43,app://doctor/DOC_0073
DOC_0074,HOSP_003,Simran Sen,OTHER,58,GENERAL_SURGERY,LAPAROSCOPIC_SURGERY,"MBBS, MD",Fellowship in Neuro Critical Care,31,SENIOR_CONSULTANT,False,True,ROTATING,False,True,"['Bengali', 'English', 'Hindi']",4,27,4.08,3.71,0.75,0.68,app://doctor/DOC_0074
DOC_0075,HOSP_003,Juhi Sen,OTHER,44,PULMONOLOGY,CRITICAL_CARE,"MBBS, MD",Fellowship in Trauma Care,15,SENIOR_CONSULTANT,True,False,NIGHT,False,True,"['Bengali', 'English', 'Hindi', 'Marathi', 'Odia']",4,20,5.32,4.12,0.87,0.61,app://doctor/DOC_0075
DOC_0076,HOSP_003,Arjun Das,M,64,PULMONOLOGY,SLEEP_MEDICINE,"MBBS, MS",FNB Critical Care,19,SENIOR_CONSULTANT,True,True,DAY,False,True,"['Bengali', 'English', 'Hindi', 'Marathi']",4,16,2.82,4.08,0.92,0.6,app://doctor/DOC_0076
DOC_0077,HOSP_003,Arjun Singh,M,65,ORTHO,SPINE_SURGEON,MBBS,Fellowship in Pediatric ICU,15,SENIOR_CONSULTANT,True,False,DAY,False,True,"['Bengali', 'English', 'Hindi', 'Marathi']",4,13,7.13,3.27,0.83,0.64,app://doctor/DOC_0077
DOC_0078,HOSP_003,Kabir Mehta,OTHER,58,PULMONOLOGY,INTERVENTIONAL_PULMONOLOGY,"MBBS, MD",Fellowship in Trauma Care,4,JUNIOR_RESIDENT,True,True,NIGHT,False,False,"['Bengali', 'English', 'Hindi', 'Marathi', 'Odia']",1,15,4.76,4.68,0.55,0.61,app://doctor/DOC_0078
DOC_0079,HOSP_003,Vivaan Roy,F,59,ORTHO,SPORTS_INJURY,"MBBS, MS",,7,CONSULTANT,True,True,NIGHT,False,True,"['Bengali', 'English', 'Hindi', 'Tamil']",2,26,5.21,3.39,0.64,0.25,app://doctor/DOC_0079
DOC_0080,HOSP_003,Kabir Banerjee,F,44,ORTHO,SPINE_SURGEON,"MBBS, MS",Fellowship in Trauma Care,13,SENIOR_CONSULTANT,True,False,ROTATING,False,False,"['Bengali', 'English', 'Hindi', 'Odia', 'Tamil']",3,12,4.61,3.19,0.88,0.73,app://doctor/DOC_0080
DOC_0081,HOSP_003,Rohit Iyer,M,28,PEDIATRIC,PEDIATRIC_ICU,"MBBS, MD",Fellowship in Interventional Cardiology,20,SENIOR_CONSULTANT,True,True,NIGHT,False,True,"['Bengali', 'English', 'Hindi', 'Marathi', 'Tamil']",2,11,7.01,3.93,0.86,0.21,app://doctor/DOC_0081
DOC_0082,HOSP_003,Simran Bhattacharya,OTHER,47,GENERAL_SURGERY,ONCO_SURGERY,"MBBS, MS",Fellowship in Neuro Critical Care,9,CONSULTANT,False,True,DAY,False,True,"['Bengali', 'English', 'Hindi', 'Marathi']",4,27,9.22,4.51,0.54,0.66,app://doctor/DOC_0082
DOC_0083,HOSP_003,Riya Sen,M,33,PULMONOLOGY,INTERVENTIONAL_PULMONOLOGY,"MBBS, MS",,4,JUNIOR_RESIDENT,True,False,DAY,False,False,"['Bengali', 'English', 'Hindi', 'Odia', 'Urdu']",3,26,4.98,4.36,0.54,0.62,app://doctor/DOC_0083
DOC_0084,HOSP_004,Rohit Mukherjee,OTHER,56,CARDIAC,CARDIAC_ELECTROPHYSIOLOGY,"MBBS, MD",Fellowship in Neuro Critical Care,4,JUNIOR_RESIDENT,False,True,NIGHT,False,False,"['Bengali', 'English', 'Hindi', 'Urdu']",4,18,8.35,4.49,0.36,0.62,app://doctor/DOC_0084
DOC_0085,HOSP_004,Vivaan Mehta,F,32,TRAUMA,POLYTRAUMA,MBBS,Fellowship in Interventional Cardiology,27,SENIOR_CONSULTANT,True,True,NIGHT,True,False,"['Bengali', 'English', 'Hindi', 'Odia', 'Tamil']",4,24,8.83,4.81,0.93,0.37,app://doctor/DOC_0085
